subject,bone,iters,A_before,A_after,rmsd_ab,rmsd_ba,rmsd_2way,rmsd,d_mean,d_min,d_max,d_median,d_std,d_95,d_5
50007L,tpm,25,185.33524918320194,183.96216772244503,0.0006034383308869931,0.0010572000167038181,0.000860758297811364,0.000860758297811364,0.0004486594409287633,4.516243269497122e-08,0.009811863513399133,0.00026479157902033147,0.0007345812094769416,0.0013972842199341418,2.3726366284980217e-05
50007L,tpm,50,185.33524918320194,182.86599482028868,0.0011363153561865398,0.0018305239378180367,0.0015234878528610253,0.0015234878528610253,0.0008257099360808888,4.105121360175201e-07,0.0164437538615443,0.0004968089752323298,0.0012803196238722547,0.00261311943478631,4.727429063876989e-05
50007L,tpm,100,185.33524918320194,181.16642628221103,0.0020900268689869935,0.0029960216835027828,0.002583056159001041,0.002583056159001041,0.0014771515915499387,3.8966466241489556e-07,0.02641032283717654,0.0009038126914983628,0.0021190097442283493,0.004603419240310915,8.236558672607993e-05
50007L,tpm,200,185.33524918320194,178.78361167446445,0.003815209675987304,0.004775554914841966,0.004322137759050398,0.004322137759050398,0.002635417722492632,7.048660149345893e-07,0.03867742562347137,0.0016822463384339632,0.003425704049707293,0.008358180144665151,0.00016366208563909607
50007L,tpm,400,185.33524918320194,175.72869849419695,0.0069843150497528005,0.007783361882223432,0.007394639237442627,0.007394639237442627,0.004833059955928376,1.1247634521421412e-06,0.05299851331210954,0.0032710576697241225,0.005596625850843317,0.015505105137726042,0.00030667820738186505
50007L,tpm,800,185.33524918320194,172.11104176268495,0.01275325257715667,0.013263717732180774,0.013010988805154663,0.013010988805154663,0.009061416436949658,2.8582833182695188e-06,0.0767056854774853,0.006429965414620388,0.009336838964234016,0.027653208969679842,0.0005885418269348716
50007L,tpm,1600,185.33524918320194,168.08389817727908,0.023680405810202733,0.023831221677865392,0.023755933427203453,0.023755933427203453,0.017321946400897206,1.8319522638481243e-06,0.11870928166720762,0.012886716436747535,0.016257138305438835,0.04986353082441994,0.00097794160196786
50008L,tpm,25,150.41486080990086,149.26520129734092,0.00043213626740363836,0.000590697958647029,0.0005175257635883048,0.0005175257635883048,0.0003632823716232841,2.8509049814136124e-09,0.005909753884708777,0.00026203100170764403,0.0003685903341725338,0.0010441551458099314,2.5657952284936164e-05
50008L,tpm,50,150.41486080990086,148.32941276240862,0.000822199190870763,0.0010695123671756119,0.0009539046632159102,0.0009539046632159101,0.0006783395458186261,1.500733183573914e-07,0.00924397968720686,0.0004948366367505971,0.0006706635274738288,0.0019461229377396813,4.6923794071999044e-05
50008L,tpm,100,150.41486080990086,146.84180619461404,0.0015398719410437064,0.0018759671631420375,0.0017161670070247965,0.0017161670070247965,0.001239587664024554,3.509545477631871e-08,0.013658085283656337,0.0009077718789988153,0.0011868663021581654,0.0035244269278650233,9.694612733150167e-05
