subject,bone,bucket,r2_95,r2_50,r2_5,rmse_95,rmse_50,rmse_5,m_95,m_50,m_5
14726R,tpm,2.1,0.8439928444678266,0.8906913181729353,0.9448997176928462,0.250585075576539,0.20975400934283325,0.14892234093187404,-5.710094974929603,-3.9384036178053177,-2.752402863441557
14726R,tpm,2.2,0.8223833732913258,0.8834533508309951,0.9333213442151873,0.27955556827188555,0.22645203826497623,0.17128516732431195,-5.938481305186956,-4.084379571001684,-2.8466179073011926
14726R,tpm,2.3000000000000003,0.8011476615622937,0.8737373339224939,0.9087185223474694,0.30868011301032616,0.24596922740213872,0.209138808869063,-6.168171679461051,-4.23382079236609,-2.9469853811358644
14726R,tpm,2.4000000000000004,0.7954118218730447,0.870470794334337,0.8873797675425552,0.326168442106248,0.25952877864727164,0.24199694394324758,-6.409656501788223,-4.378267497237704,-3.0490693048409523
14726R,tpm,2.5,0.7721217211486554,0.8670936690070707,0.8614599895936877,0.35802448499213224,0.27342240431889014,0.2791572242546304,-6.634551966219367,-4.523086338350711,-3.1502392825723473
14726R,tpm,2.6,0.7815607153732059,0.8670919835953264,0.8429664841943558,0.36403273571697975,0.2839557417723792,0.3086535267719415,-6.865063842868312,-4.662157537407137,-3.2553167174116036
14726R,tpm,2.7,0.7802679961200405,0.8665250816496705,0.8264862432990145,0.3786490889090761,0.2951141884484549,0.3364784186948593,-7.108958800713561,-4.80143154093229,-3.3618565034328727
14726R,tpm,2.8000000000000003,0.7836906750697831,0.8590318750733338,0.8083029783998561,0.3891227665546597,0.3141300486242378,0.36631668692553543,-7.347764342409188,-4.94916141505031,-3.4678540485800498
14726R,tpm,2.9000000000000004,0.7974759410339497,0.859205287087019,0.7944592165393063,0.3895180023765258,0.32477485394855865,0.39240833784376083,-7.537419435002605,-5.088237436120086,-3.5769516855333015
14726R,mc1,0.5,0.9021003846399298,0.9869067136836593,0.9936479978637984,0.053435993936690754,0.01954194252268542,0.013611272129104787,-3.540342136153896,-2.0469065463458613,-1.876610930199341
14726R,mc1,0.6000000000000001,0.9018625090636737,0.9906562291531648,0.9949377083921647,0.06265380784479929,0.019332636495661724,0.014229956581572136,-3.9624265679635946,-2.0990725448970435,-1.922817493308938
14726R,mc1,0.7000000000000001,0.9344230069745517,0.9909118898531747,0.9963299522206336,0.05867531110983598,0.02184320907532407,0.013880832410800438,-3.999405180564708,-2.1729038809061416,-1.9457034044318564
14726R,mc1,0.8,0.9374603718495306,0.9852343430750194,0.9971640705485991,0.06457018308294185,0.031374784912920624,0.013749980488230756,-4.284190927782415,-2.2853894289439243,-1.966054482283349
14726R,mc1,0.9,0.9535390483285974,0.9875162702997904,0.9964492969601044,0.06191145704060513,0.03209217506289183,0.01711528558895155,-4.366473666975231,-2.340524162599309,-2.0096472884549788
14726R,mc1,1.0,0.95502743686279,0.9846552891837779,0.9965724134467855,0.06706158597677951,0.03917232545589078,0.01851374233701748,-4.583715265470939,-2.431739416175139,-2.0402765907423093
14726R,mc1,1.1,0.965192470764952,0.9842682839922767,0.9966583325040401,0.06440417093514325,0.043297761577095056,0.01995533453996265,-4.620880645165403,-2.5065310463015,-2.0685871285901984
